text 1	text 2	text 3	text 4
caliber	(총·포의) 구경; (원통의) 직경	a pistol of small caliber.	소구경의 권총.
blush	얼굴을 붉히다, 얼굴이 빨개지다	to blush with embarrassment / shame.	당황해서/수치심에 얼굴이 붉어지다.
immaculate	티 하나 없이 깔끔한[깨끗한]	She always looks immaculate.	그녀는 언제나 더없이 깔끔해 보인다.
hierarchy	(특히 사회나 조직 내의) 계급[계층]	the social/political hierarchy.	사회적/정치적 계층[계급].
meddling	(쓸데없는) 간섭, 참견	He had no right to meddle in her affairs.	그가 그녀 일에 간섭할 권리는 없었다.
uncanny	이상한, 묘한	I had an uncanny feeling I was being watched.	나는 누군가가 나를 지켜보고 있다는 묘한 느낌이 들었다.
fatuous	어리석은, 얼빠진	a fatuous comment / grin.	어리석은 말/얼빠진 웃음.
inhibition	(생각・감정 표현의) 억제, 어색함, 거리낌	The children were shy at first, but soon lost their inhibitions.	그 아이들이 처음에는 수줍어했지만 곧 어색함을 벗어던졌다.
servitude	노예 상태	취역 중의 《.	a warship》 in commission.
bluster	고함치다, 엄포를 놓다	‘I don't know what you're talking about,' he blustered.	“네가 무슨 말을 하는지 모르겠어.” 그가 고함쳤다.
proverb	속담	He is punctual to a proverb.	그가 시간을 잘 지킨다는 것을 모르는 사람은 없다.
reclaim	(분실하거나 빼앗긴 물건 등을) 되찾다[돌려 달라고 하다]	You'll have to go to the police station to reclaim your wallet.	당신 지갑을 되찾으려면 경찰서에 가야 할 것이다.
moribund	소멸[절멸] 직전의		
extraneous	(특정 상황이나 주제와) 관련 없는	We do not want any extraneous information on the page.	우리는 그 페이지에 관련 없는 정보는 어떤 것도 원하지 않는다.
tangible	분명히 실재하는[보이는], 유형(有形)의	tangible benefits/improvements/results, etc.	분명히 실재하는 혜택/개선/결과 등.
contemporary	동시대의	We have no contemporary account of the battle.	그 전투에 대한 동시대의 기록은 없다.
decade	10[십]년(특히 1910년-1919년이나 1990년-1999년과 같은 기간을 가리킴)		
horn	(양・소 등의) 뿔	I'm sure she doesn't want us horning in on her business.	그녀는 틀림없이 우리가 자기 일에 참견하는 것을 원하지 않을 거야.
despondent	낙담한, 실의에 빠진	She was becoming increasingly despondent about the way things were going.	그녀는 사정이 돌아가는 것에 대해 점점 더 낙담하게 되었다.
desolate	황량한, 적막한	a bleak and desolate landscape.	황폐하고 적막한 풍경.
whitewash	(초크나 석회로 만든) 백색 도료		
retrieve	(특히 제자리가 아닌 곳에 있는 것을) 되찾아오다[회수하다]	She bent to retrieve her comb from the floor.	그녀가 바닥에 떨어진 빗을 주우려고 몸을 숙였다.
admonish	꾸짖다, 책망하다	She was admonished for chewing gum in class.	그녀는 수업 중에 껌을 씹다가 꾸지람을 들었다.
imbecility	[U] 저능; 우둔함	They behaved like imbeciles.	그들은 얼간이같이 굴었다.
fertile	비옥한, 기름진	a fertile region.	비옥한 지역.
haggard	초췌한	그는 잠을 못 자서 얼굴이 까칠하다.	.
facility	(생활의 편의를 위한) 시설[기관]	sports/leisure facilities.	스포츠/레저 시설.
innocuous	악의 없는	It seemed a perfectly innocuous remark.	그것은 전혀 악의 없이 한 말 같았다.
coalition	(둘 이상의 정당으로 구성된) 연립 정부, 연정	to form a coalition.	연립 정부를 구성하다.
induce	설득하다, 유도하다	Nothing would induce me to take the job.	그 무엇으로 유도해도 나는 그 일을 맡지 않을 것이다.
emphasize	(중요성을) 강조하다	His speech emphasized the importance of attracting industry to the town.	그의 연설은 그 소도시로 산업을 유치하는 일의 중요성을 강조했다.
jack up	잭(자동차 타이어를 갈 때처럼 무거운 것을 들어올릴 때 쓰는 기구)	Every Jack has his Gill[Jill].	[속담] 짚신도 제짝이 있다.
beef up	소[쇠]고기	roast/minced beef.	구운/다진 소고기.
ablaze	불길에 휩싸인	The whole building was soon ablaze.	곧 건물 전체가 불길에 휩싸였다.
accomplice	공범(자)	His wife accompanied him on the trip.	그 여행에는 그의 아내가 그와 동행했다.
reserve	예약하다	I'd like to reserve a table for three for eight o'clock.	8시에 세 사람이 식사할 자리를 예약하고 싶어요.
beset	괴롭히다	The team was beset by injury all season.	그 팀은 시즌 내내 부상에 시달렸다.
founder	창립자, 설립자	the founder and president of the company.	그 회사의 창립자이자 회장.
procrastinate	(해야 할 일을 보통 하기가 싫어서) 미루다[질질 끌다]	지체 없이.	without delay.
condense	(기체가) 응결되다; 응결시키다	Steam condenses into water when it cools.	수증기는 식으면 응결되어 물이 된다.
considerable	상당한, 많은	Damage to the building was considerable.	그 건물이 입은 손상이 상당했다.
intrigue	강한 흥미[호기심]를 불러일으키다	You've really intrigued me—tell me more!.	자네 정말 호기심 동하게 만드는군. 더 얘기해 줘!.
emulate	(흠모하는 대상을) 모방하다[따라 가다]	She hopes to emulate her sister's sporting achievements.	그녀는 언니의 운동 실력을 따라 갈 수 있기를 바란다.
admittedly	인정하건대	Admittedly, it is rather expensive but you don't need to use much.	인정하건대, 이것이 좀 비싸긴 합니다만, 많이 쓰실 필요가 없어요.
intent	강한 관심[흥미]을 보이는, 몰두[열중]하는	an intent gaze/look.	몰두한 시선/표정.
cutlery	(식탁용) 날붙이류(나이프・포크・숟가락 등)		
deplete	(남아 있는 것이 충분하지 않을 정도로) 대폭 감소시키다[격감시키다]	Food supplies were severely depleted.	식량 공급량이 심하게 격감되었다.
eradicate	근절하다, 뿌리뽑다	Polio has been virtually eradicated in Brazil.	브라질에서 소아마비는 사실상 근절되었다.
augment	늘리다, 증가시키다	수출을 늘리다.	.
cooperate	협력[합동]하다	The two groups agreed to cooperate with each other.	그 두 그룹은 서로 협력하기로 합의했다.
fabricate	(거짓 정보를) 날조하다[조작하다]	The evidence was totally fabricated.	그 증거는 완전히 조작된 것이었다.
despotic	전제[독재]적인; 횡포한	an enlightened despot.	깨달음을 얻은[마음을 바꿔 먹은] 폭군.
aftermath	(전쟁・사고 등의) 여파[후유증]	A lot of rebuilding took place in the aftermath of the war.	전쟁의 여파로 많은 재건축이 실시되었다.
clement	온화한		
cluster	(함께 자라거나 나타나는) 무리, (작은 열매의) 송이	a cluster of stars.	별 무리[성단].
maladroit	솜씨[재치] 없는(특히 사람들을 짜증나게 하거나 감정 상하게 하는 경우에 대해 씀)		
verdict	(배심원단의) 평결	Has the jury reached a verdict?.	배심원단이 평결을 내렸습니까?.
robust	원기 왕성한, 팔팔한	She was almost 90, but still very robust.	그 분은 거의 아흔이 다 되셨지만 아직 아주 팔팔하셨다.
disband	(조직을[이]) 해체[해산]하다	They set about disbanding the terrorist groups.	그들이 테러 단체들 해산에 들어갔다.
excretion		배설 욕구를 느끼다.	.
rudimentary	가장 기본[기초]적인	They were given only rudimentary training in the job.	그들은 그 직장에서 가장 기본적인 훈련만 받았다.
progenitor	(사람・동식물의) 조상	He was the progenitor of a family of distinguished actors.	그는 뛰어난 배우 가문의 조상이었다.
invincible	천하무적의, 아무도 꺾을[바꿀] 수 없는	The team seemed invincible.	그 팀은 천하무적으로 보였다.
deft	날랜, 재빠른	deft hands/fingers/footwork.	날랜 손/손가락/발놀림.
congruous			
candor	[U] 공평무사, 허심 탄회; 솔직, 정직; [고어] 순백; [폐어] 순수성, 순결	a candid statement / interview.	솔직한 진술/인터뷰.
haphazard	무계획적인, 되는 대로의	The books had been piled on the shelves in a haphazard fashion.	그 책들은 책장에 마구잡이로 쌓아 놓은 상태였다.
inane	어리석은; 무의미한	an inane remark.	무의미한 말.
dismal	음울한, 울적하게 하는	dismal conditions / surroundings / weather.	음울한 상황/환경/날씨.
adamant	요지부동의, 단호한	Eva was adamant that she would not come.	에바는 요지부동으로 오지 않으려 했다.
felicity	더할 나위없는 행복	She makes her meals with felicity.	그녀는 솜씨 있게 그녀의 음식을 만든다.
affect	영향을 미치다	How will these changes affect us?.	이들 변화가 우리에게 어떤 영향을 미칠까?.
impoverished	빈곤한	impoverished peasants.	빈곤한 소작농들.
irreplaceable	(대단히 귀중하거나 특별하여) 그 무엇으로도 대체[대신]할 수 없는		
aimlessly	목적 없이	My life seemed aimless.	내 삶이 방향을 잃은 것 같았다.
stale	신선하지 않은, (만든 지) 오래된	I went stale after drinking so much beer.	나는 맥주를 그렇게 많이 마시고 컨디션이 나빠졌다.
disrupt	방해하다, 지장을 주다	Demonstrators succeeded in disrupting the meeting.	시위자들이 그 회의를 방해하는 데 성공했다.
esthetic	=aesthetic.	an aesthetic appreciation of the landscape.	풍경에 대한 심미적 감상.
germane	(~와) 밀접한 관련이 있는	remarks that are germane to the discussion.	논의와 밀접한 관련이 있는 발언.
belligerent	적대적인, 공격적인	a belligerent attitude.	공격적인 태도.
officious	거들먹거리는, 위세를 부리는	a nasty officious little man.	기분 나쁘게 거들먹거리는 작은 남자.
arbitrary	임의적인, 제멋대로인	The choice of players for the team seemed completely arbitrary.	그 팀의 선수 선발은 완전히 제멋대로인 것처럼 보였다.
auspicious	상서로운	an auspicious start to the new school year.	상서로운 새 학년의 시작.
involved	관여하는, 관련된, 연루된	to be/become/get involved in politics.	정치에 관여하다/관여하게 되다/관여하게 되다.
enumerate	열거하다	단편적인 정보를 나열하다.	list fragments of information.
dormant	휴면기의, 활동[성장]을 중단한	a dormant volcano.	휴화산.
messy	지저분한, 엉망인	The house was always messy.	그 집은 항상 지저분했다.
linguist	수개 국어에 능통한 사람; 언어에 능한 사람	She's an excellent linguist.	그녀는 여러 언어에 아주 능통하다.
gullible	남을 잘 믿는, 잘 속아 넘어가는	우스갯소리를 곧이듣다.	take a joke seriously.
exclude	제외[배제]하다	The cost of borrowing has been excluded from the inflation figures.	차용 비용은 그 인플레이션 수치에서 제외되었다.
hypnosis	최면 (상태)	She only remembered details of the accident under hypnosis.	그녀는 최면 상태에서만 그 사건의 세부 내용을 기억해 냈다.
antidote	해독제	There is no known antidote to the poison.	그 독약에는 알려진 해독제가 없다.
spot	(작은) 점, 반점	Which has spots, the leopard or the tiger?.	반점이 있는 게 어느 거지, 표범인가 호랑이인가?.
sober	술 취하지 않은	I promised him that I'd stay sober tonight.	내가 오늘 밤에는 술에 취하지 않기로 그와 약속을 했어.
flair	(타고난) 재주[재능]	He has a flair for languages.	그는 언어에 재능이 있다.
absurd	우스꽝스러운, 터무니없는	That uniform makes the guards look absurd.	저 제복 때문에 경비원들이 우스꽝스러워 보인다.
nanimous			
desultory	두서없는, 종잡을 수 없는	I wandered about in a desultory fashion.	나는 그저 되는 대로 이리저리 돌아다녔다.
blanch	(충격으로 얼굴이) 핼쑥해지다	You will not blanch over your mistake, will you?.	넌 너의 잘못을 적당히 얼버무리지 않을 거야, 그렇지?.
fable	우화	Aesop's Fables.	이솝 우화.
sagacious	현명한	어려운 문제를 지혜롭게 해결하다.	.
impartial	공정한	an impartial inquiry/observer.	공정한 조사/관찰자.
giddy	어지러운, 아찔한	When I looked down from the top floor, I felt giddy.	맨 위층에서 내려다보니 눈앞이 아찔했다.
dialect	방언, 사투리	the Yorkshire dialect.	요크셔 방언.
placate	(화를) 달래다	a placating smile.	달래는 듯한 미소.
staggering	(너무 엄청나서) 충격적인, 믿기 어려운	The injured woman staggered to her feet.	부상을 입은 그 여자가 비틀거리며 일어섰다.
blemish	(피부 등의) 티, 흠	make-up to cover blemishes.	피부의 잡티를 감춰 주는 화장품.
superficial	깊이 없는, 얄팍한	a superficial analysis.	깊이 없는 분석.
susceptible	민감한	He's highly susceptible to flattery.	그는 아첨에 대단히 민감하다.
generalize	일반화하다	It would be foolish to generalize from a single example.	한 가지 사례로 일반화를 하는 것은 어리석은 일이 될 것이다.
commencement	시작, 개시	the commencement of the financial year.	회계 연도의 개시.
pathetic	불쌍한, 애처로운	a pathetic and lonely old man.	불쌍하고 외로운 노인.
ooze	(걸쭉한 액체가[를] 천천히) 흐르다[흘리다]	Blood oozed out of the wound.	부상 부위에서 피가 흘러 나왔다.
prompt	즉각적인, 지체 없는	Prompt action was required as the fire spread.	불길이 번져 가자 즉각적인 조처가 필요했다.
articulate	(생각・감정을) 분명히 표현하다[설명하다]	She struggled to articulate her thoughts.	그녀는 자기 생각을 분명히 표현하려고 애를 썼다.
catchy	기억하기 쉬운	a catchy tune/slogan.	기억하기 쉬운 가락/슬로건.
dodge	(몸을) 재빨리[휙] 움직이다[비키다/피하다]	He ran across the road, dodging the traffic.	그는 차들을 재빨리 피하며 뛰어서 길을 건너갔다.
alternative	대안, 선택 가능한 것	We had no alternative but to fire Gibson.	우리는 깁슨을 해고할 밖에 다른 대안이 없었다.
benevolent	자애로운	a benevolent smile / attitude.	자애로운 미소/태도.
slovenly	(외모・행실이) 지저분한	He grew lazy and slovenly in his habits.	그는 버릇이 게으르고 지저분하게 들었다.
incontrovertible	이론[반박]의 여지가 없는	incontrovertible evidence/proof.	이론[반박]의 여지가 없는 증거.
audacious	대담한	an audacious decision.	대담한 결정.
obstinate	고집 센, 완강한	He can be very obstinate when he wants to be!.	그는 자기가 원하면 아주 완강해질 수 있는 사람이야[고집을 부리려 들면 꺾기가 아주 힘들어]!.
reaffirm	(무엇이 사실임을) 재차 확인[확언]하다		
invigorating	기운 나게 하는;  상쾌한	The cold water invigorated him.	찬물에 씻고 나니 그는 기운이 났다.
streamline	유선형으로 하다	The cars all have a new streamlined design.	그 자동차들은 모두 새로운 유선형 디자인으로 되어 있다.
disgrace	망신, 수치, 불명예	Her behaviour has brought disgrace on her family.	그녀의 행동은 가족에게 수치를 안겨 주었다[가족을 망신시켰다].
dwindle	(점점) 줄어들다	dwindling audiences.	점점 줄어들고 있는 관객.
appreciate	진가를 알아보다[인정하다]	You can't really appreciate foreign literature in translation.	번역으로는 외국 문학의 참맛을 진정으로 느낄 수가 없다.
verify	(진실인지・정확한지) 확인하다	We have no way of verifying his story.	우리는 그의 이야기를 확인할 길이 없다.
correlate	(밀접한) 연관성[상관관계]이 있다	The figures do not seem to correlate.	그 수치들은 연관성이 없어 보인다.
clog	막다; 막히다	The narrow streets were clogged with traffic.	좁은 도로가 차들로 꽉 막혀 있었다.
hereditary	유전적인	a hereditary illness/disease/condition/problem.	유전병[유전성 질환].
affable	상냥한, 사근사근한	사근사근하게 굴다.	act amiably.
intricate	(여러 부분・내용으로 되어 있어) 복잡한	intricate patterns.	복잡한 무늬.
cosmetic	화장품	the cosmetics industry.	화장품 산업.
menace	위협적인[위험한] 존재	a new initiative aimed at beating the menace of illegal drugs.	불법 마약이라는 위협적인 존재의 퇴치를 겨냥한 새 발의안.
discomfit	혼란스럽게[당황하게] 만들다		
cordial	화기애애한, 다정한	a cordial atmosphere/meeting/relationship.	화기애애한 분위기/모임/다정한 관계.
concoct	(특히 음식이나 음료를 이것저것 섞어) 만들다	The soup was concocted from up to a dozen different kinds of fish.	그 수프는 최고 열두 가지나 되는 여러 종류의 생선들을 섞어 만든 것이었다.
desperate	자포자기한, 발악하는, 될 대로 되라는 식의	The prisoners grew increasingly desperate.	죄수들은 갈수록 점점 더 될 대로 되라는 식이 되어 갔다.
dominate	(특히 불쾌한 방식으로) 지배[군림]하다	As a child he was dominated by his father.	그는 어렸을 때 아버지에게 지배를 당했다.
homogeneous	동종[동질]의	a homogeneous group / mixture / population.	동질적 집단/혼합체/인구.
abortive	무산된, 유산된, 수포로 돌아간	an abortive military coup.	무산된 군사 쿠데타.
mutilate	(인체를 심하게) 훼손하다, (특히 팔・다리를 절단하여) 불구로 만들다	The body had been badly mutilated.	그 시신은 심하게 훼손되어 있었다.
hammer out	(머리 부분이 쇠로 된) 망치[해머]	The decision is a hammer blow for the steel industry.	그 결정은 철강업에 강타를 가하는 격이다.
predicament	곤경, 궁지	the club's financial predicament.	그 클럽의 재정적 곤경.
conventional	관습[관례]적인; 극히 평범한[인습적인]	conventional behaviour/morality.	관례적인 행위/도덕.
variety	여러 가지, 갖가지, 각양각색	There is a wide variety of patterns to choose from.	선택할 수 있는 무늬가 아주 각양각색이다.
sanction	제재	Trade sanctions were imposed against any country that refused to sign the agreement.	어느 국가든 그 합의서에 서명을 거부하는 국가에 대해서는 무역 제재가 부과되었다.
retrospect		In retrospect, I think that I was wrong.	돌이켜 생각해 보면 내가 틀렸던 것 같다.
arboretum	수목원		
misnomer	부적절한[부정확한] 명칭[단어]	‘Villa' was something of a misnomer; the place was no more than an old farmhouse.	‘빌라’는 부적절하다 할 수 있는 명칭이었다. 그곳은 낡은 농가에 지나지 않았으니까.
liability	(~에 대한) 법적 책임	The company cannot accept liability for any damage caused by natural disasters.	본 회사에서는 천재지변으로 인한 손상에 대해서는 어떤 법적 책임도 질 수 없습니다.
bout	한바탕, 한차례	a drinking bout.	한바탕 술판.
disabled	장애를 가진	physically/mentally disabled.	신체/정신 장애가 있는.
kitschy	 저속한, 저질의		
adulterate	(음식이나 음료에) 불순물을 섞다	섞음질한.	mixed.
ubiquitous	어디에나 있는, 아주 흔한	the ubiquitous bicycles of university towns.	대학 도시 어디에서나 아주 흔히 볼 수 있는 자전거들.
grueling	녹초로 만드는; 엄한	a gruelling journey/schedule.	대단히 힘든 여정/일정.
tranquility	평온	a tranquil scene.	고요한 광경.
contaminate	오염시키다	The drinking water has become contaminated with lead.	그 식수는 납에 오염되었다.
intrepid	용감무쌍한, 두려움을 모르는	an intrepid explorer.	용감무쌍한 탐험가.
lavish	풍성한; 호화로운	lavish gifts / costumes / celebrations.	풍성한 선물/호화로운 복장/풍성한 축하 행사.
arrest	체포하다	A man has been arrested in connection with the robbery.	그 강도 사건과 관련해서 한 남자가 체포되었다.
replenish	(원래처럼) 다시 채우다, 보충하다	to replenish food and water supplies.	식품과 식수 비축 물자를 보충하다[다시 채워 놓다].
fragile	부서지기[손상되기] 쉬운	fragile china / glass / bones.	깨지기 쉬운 도자기/유리/부러지기 쉬운 뼈.
hectic	정신없이 바쁜, 빡빡한	a hectic schedule.	빡빡한 일정.
breed	새끼를 낳다	Many animals breed only at certain times of the year.	많은 동물들이 일년 중에 특정한 시기에만 새끼를 낳는다.
deride	조롱[조소]하다	His views were derided as old-fashioned.	그의 견해는 고루하다는 조소를 들었다.
consecutive	연이은	She was absent for nine consecutive days.	그녀는 연이어 9일 동안 결석[결근] 중이었다.
unwittingly	자신도 모르게, 부지불식간에	She had broken the law unwittingly, but still she had broken it.	그녀는 자신도 모르게 법을 어겼었다. 하지만 그래도 법을 어기기는 한 것이다.
circumspect	신중한	신중을 기하다.	pay close attention (to).
efface	지우다, 없애다	He wants to efface himself.	그는 표면에 나서지 않기를 원한다.
retaliate	보복하다, 앙갚음하다	to retaliate against an attack.	공격에 대해 보복하다.
mnemonic	(기억을 돕는) 연상 기호		
descendant	자손, 후손, 후예	He was an O'Conor and a direct descendant of the last High King of Ireland.	그는 오코너 집안사람이었고, 아일랜드 마지막 하이킹의 직계 자손이었다.
distraction	(주의) 집중을 방해하는 것; 머리를 식히게 해 주는 것	I find it hard to work at home because there are too many distractions.	나는 집에서는 집중을 방해하는 것들이 너무 많아서 일을 하기가 힘들다.
dismiss	(고려할 가치가 없다고) 묵살[일축]하다	I think we can safely dismiss their objections.	나는 우리가 그들의 반대를 묵살해도 무방하다고 생각한다.
consensus	의견 일치, 합의	There is a general consensus among teachers about the need for greater security in schools.	학교의 보안을 더 강화할 필요가 있다는 데 대해 교사들의 의견이 대체로 일치한다.
surreptitious	은밀한, 슬쩍 하는	She sneaked a surreptitious glance at her watch.	그녀는 슬쩍 한번 시계를 훔쳐보았다.
hush	쉿, 조용히 해[울지 마]	Hush now and try to sleep.	이제 쉿, 그만 얘기하고 자도록 해.
flush	붉어지다, 상기되다	She flushed with anger.	그녀가 화가 나서 얼굴이 빨개졌다.
emancipate	(법적・정치적・사회적 제약에서) 해방시키다	Slaves were not emancipated until 1863 in the United States.	미국에서 노예는 1863년에야 해방이 되었다.
explicit	분명한, 명쾌한	He gave me very explicit directions on how to get there.	그는 나에게 거기에 가는 법을 아주 분명하게 알려 주었다.
ennui	따분함, 권태감	그들은 권태기에 들어섰다.	.
benefactor	(학교・자선단체 등의) 후원자	익명의 독지가가 20억 원을 기부했다.	.
detest	몹시 싫어하다, 혐오하다	They detested each other on sight.	그들은 보자마자 서로를 혐오했다.
divergent		The parallel lines appear to diverge.	그 평행선들은 분기하는 것처럼 보인다.
subsidize	보조금을 주다	The housing projects are subsidized by the government.	그 주택 건설 프로젝트는 정부 보조금을 받는다.
extortion	강요, 강탈, 강청; [법] (관리의) 직무상의 부당 취득, 재물 강요(죄) ((금전·유가물의))	The gang extorted money from over 30 local businesses.	그 갱단[깡패 집단]은 서른 군데가 넘는 지역 업체에서 돈을 갈취했다.
immune	(특정 질병에) 면역성이 있는	Adults are often immune to German measles.	성인들은 흔히 풍진에 면역성이 있다.
contemplate	(어떤 일의 가부나 방법에 대해) 고려하다[생각하다]	You're too young to be contemplating retirement.	당신은 은퇴를 고려하기에는 너무 젊어요.
discord	불화, 다툼	marital/family discord.	부부/가족 불화.
recall	기억해 내다, 상기하다	She could not recall his name.	그녀는 그의 이름이 기억나지 않았다.
implement	시행하다	to implement changes/decisions/policies/reforms.	변화/결정/정책/개혁을 시행하다.
conspicuous	눈에 잘 띄는, 튀는; 뚜렷한	Mary's red hair always made her conspicuous at school.	메리는 빨간 머리 때문에 학창 시절에 늘 남의 시선을 받았다.
precarious	불안정한; 위태로운	He earned a precarious living as an artist.	그는 화가로서 불안정한 생활을 영위했다.
freak	(…에) 광적으로 관심이 많은 사람	a health/fitness/jazz, etc. freak.	건강/몸매 관리/재즈 등에 광적으로 관심이 많은 사람.
precise	정확한, 정밀한	precise details / instructions / measurements.	정확한 세부 내용/지시/정밀한 측정.
acronym		&quot;Saint&quot;의 약자가 뭐죠?.	.
vicious	잔인한, 포악한, 악랄한	a vicious attack.	잔인한 공격.
trenchant	정통을 찌르는		
forestall	미연에 방지하다	Try to anticipate what your child will do and forestall problems.	자녀가 무엇을 할 것인지를 예상하여 문제를 미연에 방지하도록 노력하다.
venal	(돈에 쉽게 매수되는) 부패한	venal journalists.	부패한 기자들.
deliberate	고의의, 의도[계획]적인	a deliberate act of vandalism.	고의적인 공공 기물 파손 행위.
artificial	인공[인조]의	an artificial limb/flower/sweetener/fertilizer.	의지[의수족]/조화(造花)/인공 감미료/인조 비료.
hybrid	(동식물의) 잡종	A mule is a hybrid of a male donkey and a female horse.	노새는 수당나귀와 암말의 잡종이다.
inexorable	멈출[변경할] 수 없는, 거침없는	the inexorable rise of crime.	거침없이 계속되는 범죄 증가.
term	용어, 말	a technical/legal/scientific, etc. term.	전문[특수]/법률/과학 용어 등.
vanish	(갑자기・불가사의하게) 사라지다	The magician vanished in a puff of smoke.	그 마술사는 한 줄기 연기 속으로 사라졌다.
delusive	기만적인, 현혹하는	the delusions of the mentally ill.	정신 질환자들의 망상.
circumvent	(어려움이나 법 등을) 피하다[면하다]	They found a way of circumventing the law.	그들은 그 법을 회피할 방법을 찾아내었다.
suppress	진압하다	The rebellion was brutally suppressed.	그 반란은 잔혹하게 진압당했다.
rebellious	(규칙・일반 통념 등에 대해) 반항적인	rebellious teenagers.	반항적인 십대들.
maturity	성숙함, 원숙함	He has maturity beyond his years.	그는 나이보다 성숙하다.
exasperate	몹시 화나게[짜증나게] 하다	그의 잘난 척하는 꼴이 정말 티꺼웠다.	.
obligatory	의무적인	It is obligatory for all employees to wear protective clothing.	모든 근로자들은 의무적으로 보호복을 입어야 한다.
insatiable	채울[만족시킬] 수 없는; 만족할 줄 모르는	an insatiable appetite/curiosity/thirst.	채울 수 없는 식욕/호기심/갈증.
inspect	(특히 모든 것이 제대로 되어 있는지 확인하기 위해) 점검[검사]하다	The teacher walked around inspecting their work.	선생님이 돌아다니시면서 그들의 과제를 검사했다.
perspicuous	 명쾌한, 명료한		
disoriented	[미] 혼란에 빠진; 방향 감각을 잃은		
fidelity	충실함	fidelity to your principles.	자신의 원칙에 충실함.
negation	(…의) 정반대; (존재에 대한) 부정(否定)	This political system was the negation of democracy.	이 정치 체제는 민주주의의 정반대였다.
entail	수반하다	The job entails a lot of hard work.	그 자리에는 많은 힘든 일이 수반된다.
retract	(전에 한 말을) 철회[취소]하다	He made a false confession which he later retracted.	그는 나중에 철회하게 되는 거짓 자백을 했다.
horrid	진저리나는, 지독한	a horrid child.	진저리나는 아이.
immortal	죽지 않는	The soul is immortal.	영혼은 죽지 않는다.
drowsy	졸리는	The tablets may make you feel drowsy.	그 약은 사람을 졸리게 만들 수 있다.
engender	(어떤 감정・상황을) 낳다[불러일으키다]	The issue engendered controversy.	그 쟁점은 논란을 낳았다.
touchy	화를 잘 내는, 과민한	He's a little touchy about his weight.	그는 체중에 대해 좀 과민하다.
vacant	비어 있는, 사람이 없는[안 사는]	vacant properties.	비어 있는 건물들.
exceed	(특정한 수・양을) 넘다[초과하다/초월하다]	The price will not exceed £100.	가격이 100파운드를 넘지는 않을 것이다.
agile	날렵한, 민첩한	기민하게 행동하다.	act quickly and smartly.
flippant	경솔한, 건방진	a flippant answer/attitude.	경솔한 대답/태도.
respect	존경(심), 경의	I have the greatest respect for your brother.	나는 당신 형님[오빠]을 가장 존경해요.
arduous	몹시 힘든, 고된	an arduous journey across the Andes.	안데스 산맥을 넘어가는 고된 여정.
inadequate	불충분한, 부적당한	inadequate supplies.	불충분한 보급품.
hinder	저해[방해]하다, …을 못하게 하다	a political situation that hinders economic growth.	경제 성장을 저해하는 정치 상황.
detain	(경찰서・교도소 ・병원 등에) 구금[억류]하다	One man has been detained for questioning.	한 남자가 심문을 받기 위해 구금되었다.
internment	[U] 유치, 억류, 수용; 억류 기간	그는 중국에 억류되어 있다.	.
austere	꾸밈없는, 소박한	her austere bedroom with its simple narrow bed.	소박한 좁은 침대가 놓인 그녀의 꾸밈없는 침실.
